elapsed_s,x,y,yaw,ball_x,ball_y,ball_captured,bot_mode,steering_state,direction,speed,rotation,kick,dribbler
1.1209894699999268,1117.3260498046875,385.3995056152344,-3.075407028198242,,,False,DEFENCE,False,52.83601546418429,0,0,False,False
1.1226524169999266,1117.31787109375,385.4001159667969,-3.080798625946045,,,False,DEFENCE,False,52.835416097122256,0,0,False,False
1.1251205169999139,1117.3082275390625,385.38458251953125,-3.081404685974121,,,False,DEFENCE,False,52.83556395685761,0,0,False,False
1.127913168999953,1117.3250732421875,385.3817443847656,-3.0766515731811523,,,False,DEFENCE,False,52.83688157421518,0,0,False,False
1.1294110349999755,1117.31884765625,385.3834533691406,-3.066986322402954,,,False,DEFENCE,False,52.836359918469675,0,0,False,False
1.1308659779999743,1117.3330078125,385.3895568847656,-3.0661733150482178,,,False,DEFENCE,False,52.83702116183883,0,0,False,False
1.1323151799999778,1117.32958984375,385.3828125,-3.0714709758758545,,,False,DEFENCE,False,52.83713868812727,0,0,False,False
1.1338997999999947,1117.3226318359375,385.37994384765625,-3.0700862407684326,,,False,DEFENCE,False,52.836806905299504,0,0,False,False
1.1353813889999174,1117.322998046875,385.3656921386719,-3.0711538791656494,,,False,DEFENCE,False,52.83758159645856,0,0,False,False
1.1368153149999216,1117.3372802734375,385.38031005859375,-3.0752999782562256,,,False,DEFENCE,False,52.837803671559,0,0,False,False
1.1385774039999887,1117.3314208984375,385.3736267089844,-3.0766987800598145,,,False,DEFENCE,False,52.83774864223799,0,0,False,False
1.1399982749999253,1117.3482666015625,385.37335205078125,-3.0764143466949463,,,False,DEFENCE,False,52.83893152287694,0,0,False,False
1.1557573649999995,1114.624755859375,383.17926025390625,-2.204979181289673,,,False,DEFENCE,False,52.765753247128465,0,0,False,False
1.1575226950000115,1114.6416015625,383.21673583984375,-2.196195602416992,,,False,DEFENCE,False,52.76495107534083,0,0,False,False
1.1589831000000004,1114.6231689453125,383.2225036621094,-2.191088914871216,,,False,DEFENCE,False,52.76337806989479,0,0,False,False
1.1603987119999601,1114.6083984375,383.2237854003906,-2.1919264793395996,,,False,DEFENCE,False,52.76229262721664,0,0,False,False
1.1627544859999261,1114.60791015625,383.21337890625,-2.193211555480957,,,False,DEFENCE,False,52.76280425158674,0,0,False,False
1.1641746899999816,1114.578125,383.1909484863281,-2.1907598972320557,,,False,DEFENCE,False,52.761926254630986,0,0,False,False
1.1655775809999795,1114.583984375,383.19097900390625,-2.1933023929595947,,,False,DEFENCE,False,52.762328569531874,0,0,False,False
1.1671411089999992,1114.571533203125,383.1832275390625,-2.194516658782959,,,False,DEFENCE,False,52.76187640294576,0,0,False,False
1.1700794739999765,1114.5711669921875,383.1819152832031,-2.196667194366455,,,False,DEFENCE,False,52.761919915020975,0,0,False,False
1.173607746000016,1114.57861328125,383.1616516113281,-2.1923813819885254,,,False,DEFENCE,False,52.76349490410677,0,0,False,False
1.1750249499999654,1114.5703125,383.1737976074219,-2.16754150390625,,,False,DEFENCE,False,52.76228633643206,0,0,False,False
1.176445617000013,1114.569580078125,383.1628112792969,-2.154189348220825,,,False,DEFENCE,False,52.762811462367516,0,0,False,False
1.1778452669999524,1114.568115234375,383.1687316894531,-2.1449222564697266,,,False,DEFENCE,False,52.76240029734618,0,0,False,False
1.179262601000005,1114.5614013671875,383.17413330078125,-2.1310384273529053,,,False,DEFENCE,False,52.761654484603966,0,0,False,False
1.180658343999994,1114.5762939453125,383.158447265625,-2.114924669265747,,,False,DEFENCE,False,52.76350290819737,0,0,False,False
1.1830043029999615,1114.577880859375,383.1482849121094,-2.104952812194824,,,False,DEFENCE,False,52.764144719531636,0,0,False,False
1.1856014129999721,1114.5728759765625,383.1376037597656,-2.087944746017456,,,False,DEFENCE,False,52.7643593098593,0,0,False,False
1.1870261349999964,1114.5791015625,383.1412048339844,-2.0714111328125,,,False,DEFENCE,False,52.76459979370855,0,0,False,False
1.1884390249999797,1114.585693359375,383.15887451171875,-2.0574889183044434,,,False,DEFENCE,False,52.764128458422306,0,0,False,False
1.1898538039999949,1114.559814453125,383.1595153808594,-2.0510170459747314,,,False,DEFENCE,False,52.762310984569,0,0,False,False
1.1912723599999708,1114.579345703125,383.16375732421875,-2.0444276332855225,,,False,DEFENCE,False,52.76343506864733,0,0,False,False
1.1926836210000147,1114.587646484375,383.14849853515625,-2.0347740650177,,,False,DEFENCE,False,52.76480670505808,0,0,False,False
1.1940897889999178,1114.586669921875,383.1386413574219,-2.0247855186462402,,,False,DEFENCE,False,52.76525580354801,0,0,False,False
1.1957029069999408,1114.5863037109375,383.1453552246094,-2.01841139793396,,,False,DEFENCE,False,52.76487882161527,0,0,False,False
1.1971147219999239,1114.5732421875,383.14935302734375,-2.0079402923583984,,,False,DEFENCE,False,52.76376900482195,0,0,False,False
1.1985303339999973,1114.5672607421875,383.1497497558594,-1.9968129396438599,,,False,DEFENCE,False,52.763335907764976,0,0,False,False
1.2008629429999473,1114.5645751953125,383.1399230957031,-1.9891763925552368,,,False,DEFENCE,False,52.76366561669369,0,0,False,False
1.2022741659999383,1114.581298828125,383.12481689453125,-1.975525140762329,,,False,DEFENCE,False,52.765609801495366,0,0,False,False
1.203697702999989,1114.5966796875,383.125732421875,-1.959510087966919,,,False,DEFENCE,False,52.76662209326395,0,0,False,False
1.2051142599999594,1114.583984375,383.1170959472656,-1.9479721784591675,,,False,DEFENCE,False,52.766199401557635,0,0,False,False
1.2066762700000027,1114.5859375,383.13116455078125,-1.9386775493621826,,,False,DEFENCE,False,52.765597016507385,0,0,False,False
1.20809158499992,1114.5927734375,383.1301574707031,-1.9272252321243286,,,False,DEFENCE,False,52.766121001221144,0,0,False,False
1.2095054750000145,1114.592041015625,383.1231384277344,-1.9126603603363037,,,False,DEFENCE,False,52.76643822331502,0,0,False,False
1.2109016809999957,1114.6021728515625,383.1319885253906,-1.9008018970489502,,,False,DEFENCE,False,52.76667302094151,0,0,False,False
1.212296849999916,1114.6004638671875,383.14410400390625,-1.8927443027496338,,,False,DEFENCE,False,52.76592049720158,0,0,False,False
1.2137012399999776,1114.5853271484375,383.1385498046875,-1.8849332332611084,,,False,DEFENCE,False,52.765168037956784,0,0,False,False
1.2151009269999804,1114.587646484375,383.1369934082031,-1.872387409210205,,,False,DEFENCE,False,52.76540945617307,0,0,False,False
1.216508150999971,1114.5859375,383.1321716308594,-1.8642518520355225,,,False,DEFENCE,False,52.765544257145784,0,0,False,False
1.2189314390000163,1114.5941162109375,383.1404113769531,-1.8554627895355225,,,False,DEFENCE,False,52.76567637609758,0,0,False,False
1.2232739159999255,1114.5986328125,383.1394348144531,-1.8401576280593872,,,False,DEFENCE,False,52.76603888829794,0,0,False,False
1.2259702970000035,1114.58251953125,383.1419982910156,-1.8069918155670166,,,False,DEFENCE,False,52.764793835019155,0,0,False,False
1.227386853999974,1114.5682373046875,383.1299743652344,-1.810373306274414,,,False,DEFENCE,False,52.764439258398255,0,0,False,False
1.2288011140000208,1114.5689697265625,383.1468811035156,-1.8110923767089844,,,False,DEFENCE,False,52.76360400269914,0,0,False,False
1.2302160959999355,1114.5709228515625,383.1579284667969,-1.810858964920044,,,False,DEFENCE,False,52.76315984601788,0,0,False,False
1.2316139499999963,1114.580322265625,383.1585388183594,-1.8099647760391235,,,False,DEFENCE,False,52.76377579638972,0,0,False,False
1.233010118999914,1114.564697265625,383.1563720703125,-1.8094279766082764,,,False,DEFENCE,False,52.76281224844716,0,0,False,False
1.2349904909999623,1114.569091796875,383.1568603515625,-1.8063368797302246,,,False,DEFENCE,False,52.76308958858494,0,0,False,False
1.2367846149999195,1114.5732421875,383.15509033203125,-1.8089503049850464,,,False,DEFENCE,False,52.76346841892087,0,0,False,False
1.238198968000006,1114.55322265625,383.1561584472656,-1.8092821836471558,,,False,DEFENCE,False,52.76203248853779,0,0,False,False
1.2396190800000113,1114.550048828125,383.14666748046875,-1.8070696592330933,,,False,DEFENCE,False,52.76231097004745,0,0,False,False
1.2410129709999183,1114.556396484375,383.1625671386719,-1.8040106296539307,,,False,DEFENCE,False,52.76191549046803,0,0,False,False
1.2563826969999354,1116.764404296875,375.5762023925781,-1.0820767879486084,,,False,DEFENCE,False,53.3076940099269,0,0,False,False
1.2581233810000185,1116.7440185546875,375.5788879394531,-1.0859426259994507,,,False,DEFENCE,False,53.30615082694995,0,0,False,False
1.2595614360000127,1116.7720947265625,375.5609130859375,-1.0914298295974731,,,False,DEFENCE,False,53.30900948705561,0,0,False,False
1.2619035799999665,1116.7662353515625,375.5509948730469,-1.0932637453079224,,,False,DEFENCE,False,53.3091150233183,0,0,False,False
1.2633203030000004,1116.781982421875,375.5418701171875,-1.0930646657943726,,,False,DEFENCE,False,53.31066919752332,0,0,False,False
1.2647391560000187,1116.7850341796875,375.5318298339844,-1.0900356769561768,,,False,DEFENCE,False,53.31139525105362,0,0,False,False
1.266157729999918,1116.7841796875,375.5276794433594,-1.0866798162460327,,,False,DEFENCE,False,53.3115495133486,0,0,False,False
1.2675767499999893,1116.7850341796875,375.5356140136719,-1.0889476537704468,,,False,DEFENCE,False,53.311200892033675,0,0,False,False
1.2705444270000044,1116.8106689453125,375.534912109375,-1.088333010673523,,,False,DEFENCE,False,53.313004100255455,0,0,False,False
1.2746573969999417,1116.816650390625,375.5128173828125,-1.0885272026062012,,,False,DEFENCE,False,53.31455120191664,0,0,False,False
